"date","experiment","level","model","temporal_resolution","variable","realization_number","model_ID","CMIP6_table","CMIP6_table_shortname","grid"
"1850-01-01/2014-12-30","historical","single_levels","hadgem3_gc31_ll","daily","near_surface_specific_humidity","r1i1p1f3","HADGEM3-GC31-LL","day","huss","gn"
"1850-01-01/2014-12-30","historical","single_levels","hadgem3_gc31_ll","daily","precipitation","r1i1p1f3","HADGEM3-GC31-LL","day","pr","gn"
"1850-01-01/2014-12-30","historical","single_levels","hadgem3_gc31_ll","daily","sea_level_pressure","r1i1p1f3","HADGEM3-GC31-LL","day","psl","gn"
"1850-01-01/2014-12-30","historical","single_levels","hadgem3_gc31_ll","daily","near_surface_wind_speed","r1i1p1f3","HADGEM3-GC31-LL","day","sfcWind","gn"
"1850-01-01/2014-12-30","historical","single_levels","hadgem3_gc31_ll","daily","near_surface_air_temperature","r1i1p1f3","HADGEM3-GC31-LL","day","tas","gn"
"1850-01-01/2014-12-30","historical","single_levels","hadgem3_gc31_ll","daily","daily_minimum_near_surface_air_temperature","r1i1p1f3","HADGEM3-GC31-LL","day","tasmin","gn"
"1850-01-01/2014-12-30","historical","single_levels","hadgem3_gc31_mm","daily","near_surface_specific_humidity","r1i1p1f3","HADGEM3-GC31-MM","day","huss","gn"
"1850-01-01/2014-12-30","historical","single_levels","hadgem3_gc31_mm","daily","precipitation","r1i1p1f3","HADGEM3-GC31-MM","day","pr","gn"
"1850-01-01/2014-12-30","historical","single_levels","hadgem3_gc31_mm","daily","sea_level_pressure","r1i1p1f3","HADGEM3-GC31-MM","day","psl","gn"
"1850-01-01/2014-12-30","historical","single_levels","hadgem3_gc31_mm","daily","near_surface_wind_speed","r1i1p1f3","HADGEM3-GC31-MM","day","sfcWind","gn"
"1850-01-01/2014-12-30","historical","single_levels","hadgem3_gc31_mm","daily","near_surface_air_temperature","r1i1p1f3","HADGEM3-GC31-MM","day","tas","gn"
"1850-01-01/2014-12-30","historical","single_levels","hadgem3_gc31_mm","daily","daily_minimum_near_surface_air_temperature","r1i1p1f3","HADGEM3-GC31-MM","day","tasmin","gn"
"1850-01-01/2014-12-30","historical","single_levels","kace_1_0_g","daily","near_surface_specific_humidity","r1i1p1f1","KACE-1-0-G","day","huss","gn"
"1850-01-01/2014-12-30","historical","single_levels","kace_1_0_g","daily","precipitation","r1i1p1f1","KACE-1-0-G","day","pr","gn"
"1850-01-01/2014-12-30","historical","single_levels","kace_1_0_g","daily","sea_level_pressure","r1i1p1f1","KACE-1-0-G","day","psl","gn"
"1850-01-01/2014-12-30","historical","single_levels","kace_1_0_g","daily","near_surface_wind_speed","r1i1p1f1","KACE-1-0-G","day","sfcWind","gn"
"1850-01-01/2014-12-30","historical","single_levels","kace_1_0_g","daily","near_surface_air_temperature","r1i1p1f1","KACE-1-0-G","day","tas","gn"
"1850-01-01/2014-12-30","historical","single_levels","kace_1_0_g","daily","daily_minimum_near_surface_air_temperature","r1i1p1f1","KACE-1-0-G","day","tasmin","gn"
"1850-01-01/2014-12-30","historical","single_levels","ukesm1_0_ll","daily","near_surface_specific_humidity","r1i1p1f2","UKESM1-0-LL","day","huss","gn"
"1850-01-01/2014-12-30","historical","single_levels","ukesm1_0_ll","daily","precipitation","r1i1p1f2","UKESM1-0-LL","day","pr","gn"
"1850-01-01/2014-12-30","historical","single_levels","ukesm1_0_ll","daily","sea_level_pressure","r1i1p1f2","UKESM1-0-LL","day","psl","gn"
"1850-01-01/2014-12-30","historical","single_levels","ukesm1_0_ll","daily","near_surface_wind_speed","r1i1p1f2","UKESM1-0-LL","day","sfcWind","gn"
"1850-01-01/2014-12-30","historical","single_levels","ukesm1_0_ll","daily","near_surface_air_temperature","r1i1p1f2","UKESM1-0-LL","day","tas","gn"
"1850-01-01/2014-12-30","historical","single_levels","ukesm1_0_ll","daily","daily_minimum_near_surface_air_temperature","r1i1p1f2","UKESM1-0-LL","day","tasmin","gn"
"1850-01-01/2014-12-30","historical","single_levels","kace_1_0_g","daily","daily_maximum_near_surface_air_temperature","r1i1p1f1","KACE-1-0-G","day","tasmax","gn"
"1850-01-01/2014-12-30","historical","single_levels","ukesm1_0_ll","daily","daily_maximum_near_surface_air_temperature","r1i1p1f2","UKESM1-0-LL","day","tasmax","gn"
"1850-01-01/2014-12-31","historical","single_levels","access_cm2","daily","near_surface_air_temperature","r1i1p1f1","ACCESS-CM2","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","access_esm1_5","daily","near_surface_air_temperature","r1i1p1f1","ACCESS-ESM1-5","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","awi_cm_1_1_mr","daily","near_surface_air_temperature","r1i1p1f1","AWI-CM-1-1-MR","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","awi_esm_1_1_lr","daily","near_surface_air_temperature","r1i1p1f1","AWI-ESM-1-1-LR","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","bcc_csm2_mr","daily","near_surface_air_temperature","r1i1p1f1","BCC-CSM2-MR","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","bcc_esm1","daily","near_surface_air_temperature","r1i1p1f1","BCC-ESM1","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","cmcc_cm2_hr4","daily","near_surface_air_temperature","r1i1p1f1","CMCC-CM2-HR4","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","cmcc_cm2_sr5","daily","near_surface_air_temperature","r1i1p1f1","CMCC-CM2-SR5","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","cmcc_esm2","daily","near_surface_air_temperature","r1i1p1f1","CMCC-ESM2","day","tas","gn"
"1850-01-01/2014-12-31","historical","single_levels","cnrm_cm6_1","daily","near_surface_air_temperature","r1i1p1f2","CNRM-CM6-1","day","tas","gn"
