"model_ID","dataset_ref","experiment","doi","atlas"
"HADGEM3-GC31-LL","historical/HADGEM3-GC31-LL","historical","https://doi.org/10.22033/ESGF/CMIP6.6109",1
"HADGEM3-GC31-MM","historical/HADGEM3-GC31-MM","historical","https://doi.org/10.22033/ESGF/CMIP6.6112",0
"KACE-1-0-G","historical/KACE-1-0-G","historical","https://doi.org/10.22033/ESGF/CMIP6.8378",1
"UKESM1-0-LL","historical/UKESM1-0-LL","historical","https://doi.org/10.22033/ESGF/CMIP6.6113",1
"ACCESS-CM2","historical/ACCESS-CM2","historical","https://doi.org/10.22033/ESGF/CMIP6.4271",1
"ACCESS-ESM1-5","historical/ACCESS-ESM1-5","historical","https://doi.org/10.22033/ESGF/CMIP6.4272",1
"AWI-CM-1-1-MR","historical/AWI-CM-1-1-MR","historical","https://doi.org/10.22033/ESGF/CMIP6.2686",1
"AWI-ESM-1-1-LR","historical/AWI-ESM-1-1-LR","historical","https://doi.org/10.22033/ESGF/CMIP6.9328",0
"BCC-CSM2-MR","historical/BCC-CSM2-MR","historical","https://doi.org/10.22033/ESGF/CMIP6.2948",1
"BCC-ESM1","historical/BCC-ESM1","historical","https://doi.org/10.22033/ESGF/CMIP6.2949",0
"CMCC-CM2-HR4","historical/CMCC-CM2-HR4","historical","https://doi.org/10.22033/ESGF/CMIP6.3823",0
"CMCC-CM2-SR5","historical/CMCC-CM2-SR5","historical","https://doi.org/10.22033/ESGF/CMIP6.3825",1
"CMCC-ESM2","historical/CMCC-ESM2","historical","https://doi.org/10.22033/ESGF/CMIP6.13195",0
"CNRM-CM6-1","historical/CNRM-CM6-1","historical","https://doi.org/10.22033/ESGF/CMIP6.4066",1
"CNRM-CM6-1-HR","historical/CNRM-CM6-1-HR","historical","https://doi.org/10.22033/ESGF/CMIP6.4067",1
"CNRM-ESM2-1","historical/CNRM-ESM2-1","historical","https://doi.org/10.22033/ESGF/CMIP6.4068",1
"CANESM5","historical/CANESM5","historical","https://doi.org/10.22033/ESGF/CMIP6.3610",1
"EC-EARTH3-AERCHEM","historical/EC-EARTH3-AERCHEM","historical","https://doi.org/10.22033/ESGF/CMIP6.4701",0
"EC-EARTH3-CC","historical/EC-EARTH3-CC","historical","https://doi.org/10.22033/ESGF/CMIP6.4702",0
"FGOALS-F3-L","historical/FGOALS-F3-L","historical","https://doi.org/10.22033/ESGF/CMIP6.3355",0
"GFDL-ESM4","historical/GFDL-ESM4","historical","https://doi.org/10.22033/ESGF/CMIP6.8597",1
"IITM-ESM","historical/IITM-ESM","historical","https://doi.org/10.22033/ESGF/CMIP6.3708",1
"INM-CM4-8","historical/INM-CM4-8","historical","https://doi.org/10.22033/ESGF/CMIP6.5069",1
"INM-CM5-0","historical/INM-CM5-0","historical","https://doi.org/10.22033/ESGF/CMIP6.5070",1
"IPSL-CM5A2-INCA","historical/IPSL-CM5A2-INCA","historical","https://doi.org/10.22033/ESGF/CMIP6.13661",0
"IPSL-CM6A-LR","historical/IPSL-CM6A-LR","historical","https://doi.org/10.22033/ESGF/CMIP6.5195",1
"KIOST-ESM","historical/KIOST-ESM","historical","https://doi.org/10.22033/ESGF/CMIP6.5296",1
"MIROC-ES2L","historical/MIROC-ES2L","historical","https://doi.org/10.22033/ESGF/CMIP6.5602",1
