"gcm","institution","aerosol","atmos","atmosChem","land","landIce","ocean","ocnBgchem","seaIce"
"ACCESS-CM2","CSIRO-ARCCSS","ACCESS-CM2_aerosol_UKCA-GLOMAP-mode","ACCESS-CM2_atmos_MetUM-HadGEM3-GA7.1","none","ACCESS-CM2_land_CABLE2","none","ACCESS-CM2_ocean_ACCESS-OM2_GFDL-MOM5","none","ACCESS-CM2_seaIce_CICE5.1.2"
"ACCESS-ESM1-5","CSIRO","ACCESS-ESM1-5_aerosol_CLASSIC","ACCESS-ESM1-5_atmos_HadGAM2","none","ACCESS-ESM1-5_land_CABLE2","none","ACCESS-ESM1-5_ocean_ACCESS-OM2_MOM5","ACCESS-ESM1-5_ocnBgchem_WOMBAT","ACCESS-ESM1-5_seaIce_CICE4.1"
"AWI-CM-1-1-HR","AWI","none","AWI-CM-1-1-HR_atmos_ECHAM6.3","none","AWI-CM-1-1-HR_land_JSBACH3.20","none","AWI-CM-1-1-HR_ocean_FESOM1.4","none","AWI-CM-1-1-HR_seaIce_FESOM1.4"
"AWI-CM-1-1-LR","AWI","none","AWI-CM-1-1-LR_atmos_ECHAM6.3","none","AWI-CM-1-1-LR_land_JSBACH3.20","none","AWI-CM-1-1-LR_ocean_FESOM1.4","none","AWI-CM-1-1-LR_seaIce_FESOM1.4"
"AWI-CM-1-1-MR","AWI","none","AWI-CM-1-1-MR_atmos_ECHAM6.3","none","AWI-CM-1-1-MR_land_JSBACH3.20","none","AWI-CM-1-1-MR_ocean_FESOM1.4","none","AWI-CM-1-1-MR_seaIce_FESOM1.4"
"AWI-ESM-1-1-LR","AWI","none","AWI-ESM-1-1-LR_atmos_ECHAM6.3","none","AWI-ESM-1-1-LR_land_JSBACH3.20-dynamic-veg","none","AWI-ESM-1-1-LR_ocean_FESOM1.4","none","AWI-ESM-1-1-LR_seaIce_FESOM1.4"
"AWI-ESM-1-REcoM","AWI","none","AWI-ESM-1-REcoM_atmos_ECHAM6.3","none","AWI-ESM-1-REcoM_land_JSBACH3.20-dynamic-veg","none","AWI-ESM-1-REcoM_ocean_FESOM1.4","AWI-ESM-1-REcoM_ocnBgchem_REcoM2","AWI-ESM-1-REcoM_seaIce_FESOM1.4"
"AWI-ESM-2-1-LR","AWI","none","AWI-ESM-2-1-LR_atmos_ECHAM6.3","none","AWI-ESM-2-1-LR_land_JSBACH3.20-dynamic-veg","none","AWI-ESM-2-1-LR_ocean_FESOM2","none","AWI-ESM-2-1-LR_seaIce_FESOM 2"
"BCC-CSM2-HR","BCC","none","BCC-CSM2-HR_atmos_BCC_AGCM3_HR","none","BCC-CSM2-HR_land_BCC_AVIM2","none","BCC-CSM2-HR_ocean_MOM4","none","BCC-CSM2-HR_seaIce_SIS2"
"BCC-CSM2-MR","BCC","none","BCC-CSM2-MR_atmos_BCC_AGCM3_MR","none","BCC-CSM2-MR_land_BCC_AVIM2","none","BCC-CSM2-MR_ocean_MOM4","none","BCC-CSM2-MR_seaIce_SIS2"
"BCC-ESM1","BCC","none","BCC-ESM1_atmos_BCC_AGCM3_LR","BCC-ESM1_atmosChem_BCC-AGCM3-Chem","BCC-ESM1_land_BCC_AVIM2","none","BCC-ESM1_ocean_MOM4","none","BCC-ESM1_seaIce_SIS2"
"CAMS-CSM1-0","CAMS","none","CAMS-CSM1-0_atmos_ECHAM5","none","CAMS-CSM1-0_land_CoLM1.0","none","CAMS-CSM1-0_ocean_MOM4","none","CAMS-CSM1-0_seaIce_SIS1.0"
"CAS-ESM2-0","CAS","CAS-ESM2-0_aerosol_IAP-AACM","CAS-ESM2-0_atmos_IAP-AGCM5.0","CAS-ESM2-0_atmosChem_IAP-AACM","CAS-ESM2-0_land_CoLM","none","CAS-ESM2-0_ocean_LICOM2.0","CAS-ESM2-0_ocnBgchem_IAP-OBGCM","CAS-ESM2-0_seaIce_CICE4"
"CESM1-1-CAM5-CMIP5","NCAR","CESM1-1-CAM5-CMIP5_aerosol_MAM3","CESM1-1-CAM5-CMIP5_atmos_CAM5.2","CESM1-1-CAM5-CMIP5_atmosChem_MAM3 (same grid as atmos)","CESM1-1-CAM5-CMIP5_land_CLM4","none","CESM1-1-CAM5-CMIP5_ocean_POP2","CESM1-1-CAM5-CMIP5_ocnBgchem_BEC","CESM1-1-CAM5-CMIP5_seaIce_CICE4"
"CESM2","NCAR","CESM2_aerosol_MAM4","CESM2_atmos_CAM6","CESM2_atmosChem_MAM4","CESM2_land_CLM5","CESM2_landIce_CISM2.1","CESM2_ocean_POP2","CESM2_ocnBgchem_MARBL","CESM2_seaIce_CICE5.1"
"CESM2-FV2","NCAR","CESM2-FV2_aerosol_MAM4","CESM2-FV2_atmos_CAM6","CESM2-FV2_atmosChem_MAM4","CESM2-FV2_land_CLM5","CESM2-FV2_landIce_CISM2.1","CESM2-FV2_ocean_POP2","CESM2-FV2_ocnBgchem_MARBL","CESM2-FV2_seaIce_CICE5.1"
"CESM2-WACCM","NCAR","CESM2-WACCM_aerosol_MAM4","CESM2-WACCM_atmos_WACCM6","CESM2-WACCM_atmosChem_MAM4","CESM2-WACCM_land_CLM5","CESM2-WACCM_landIce_CISM2.1","CESM2-WACCM_ocean_POP2","CESM2-WACCM_ocnBgchem_MARBL","CESM2-WACCM_seaIce_CICE5.1"
"CESM2-WACCM-FV2","NCAR","CESM2-WACCM-FV2_aerosol_MAM4","CESM2-WACCM-FV2_atmos_WACCM6","CESM2-WACCM-FV2_atmosChem_MAM4","CESM2-WACCM-FV2_land_CLM5","CESM2-WACCM-FV2_landIce_CISM2.1","CESM2-WACCM-FV2_ocean_POP2","CESM2-WACCM-FV2_ocnBgchem_MARBL","CESM2-WACCM-FV2_seaIce_CICE5.1"
"CIESM","THU","CIESM_aerosol_MAM4","CIESM_atmos_CIESM-AM","CIESM_atmosChem_trop_mam4","CIESM_land_CIESM-LM","none","CIESM_ocean_CIESM-OM","none","CIESM_seaIce_CICE4"
"CMCC-CM2-HR4","CMCC","CMCC-CM2-HR4_aerosol_prescribed_MACv2-SP","CMCC-CM2-HR4_atmos_CAM4","none","CMCC-CM2-HR4_land_CLM4.5","none","CMCC-CM2-HR4_ocean_NEMO3.6_ORCA0.25","none","CMCC-CM2-HR4_seaIce_CICE4.0"
"CMCC-CM2-SR5","CMCC","CMCC-CM2-SR5_aerosol_MAM3","CMCC-CM2-SR5_atmos_CAM5.3","none","CMCC-CM2-SR5_land_CLM4.5","none","CMCC-CM2-SR5_ocean_NEMO3.6_ORCA1","none","CMCC-CM2-SR5_seaIce_CICE4.0"
"CMCC-CM2-VHR4","CMCC","CMCC-CM2-VHR4_aerosol_prescribed_MACv2-SP","CMCC-CM2-VHR4_atmos_CAM4","none","CMCC-CM2-VHR4_land_CLM4.5","none","CMCC-CM2-VHR4_ocean_NEMO3.6_ORCA0.25","none","CMCC-CM2-VHR4_seaIce_CICE4.0"
"CMCC-ESM2","CMCC","CMCC-ESM2_aerosol_MAM3","CMCC-ESM2_atmos_CAM5.3","none","CMCC-ESM2_land_CLM4.5","none","CMCC-ESM2_ocean_NEMO3.6_ORCA1","CMCC-ESM2_ocnBgchem_BFM5.2","CMCC-ESM2_seaIce_CICE4.0"
"CNRM-CM6-1","CNRM-CERFACS","CNRM-CM6-1_aerosol_prescribed","CNRM-CM6-1_atmos_Arpege6.3","CNRM-CM6-1_atmosChem_OZLv2","CNRM-CM6-1_land_Surfex8.0c","none","CNRM-CM6-1_ocean_NEMO3.6_eORCA1","none","CNRM-CM6-1_seaIce_Gelato6.1"
"CNRM-CM6-1-HR","CNRM-CERFACS","CNRM-CM6-1-HR_aerosol_prescribed","CNRM-CM6-1-HR_atmos_Arpege6.3","CNRM-CM6-1-HR_atmosChem_OZLv2","CNRM-CM6-1-HR_land_Surfex8.0c","none","CNRM-CM6-1-HR_ocean_NEMO3.6_eORCA025","none","CNRM-CM6-1-HR_seaIce_Gelato6.1"
"CNRM-ESM2-1","CNRM-CERFACS","CNRM-ESM2-1_aerosol_TACTIC_v2","CNRM-ESM2-1_atmos_Arpege6.3","CNRM-ESM2-1_atmosChem_REPROBUS-C_v2","CNRM-ESM2-1_land_Surfex8.0c","none","CNRM-ESM2-1_ocean_NEMO3.6_eORCA1","CNRM-ESM2-1_ocnBgchem_PISCES2s","CNRM-ESM2-1_seaIce_Gelato6.1"
"CanESM5","CCCma","CanESM5_aerosol_interactive","CanESM5_atmos_CanAM5","CanESM5_atmosChem_specified-oxidants-for-aerosols","CanESM5_land_CLASS3.6-CTEM1.2","CanESM5_landIce_specified-ice-sheets","CanESM5_ocean_NEMO3.4.1_ORCA1","CanESM5_ocnBgchem_CMOC","CanESM5_seaIce_LIM2"
"CanESM5-1","CCCma","CanESM5-1_aerosol_interactive","CanESM5-1_atmos_CanAM5","CanESM5-1_atmosChem_specified-oxidants-for-aerosols","CanESM5-1_land_CLASS3.6-CTEM1.2","CanESM5-1_landIce_specified-ice-sheets","CanESM5-1_ocean_NEMO3.4.1_ORCA1","CanESM5-1_ocnBgchem_CMOC","CanESM5-1_seaIce_LIM2"
"CanESM5-CanOE","CCCma","CanESM5-CanOE_aerosol_interactive","CanESM5-CanOE_atmos_CanAM5","CanESM5-CanOE_atmosChem_specified-oxidants-for-aerosols","CanESM5-CanOE_land_CLASS3.6-CTEM1.2","CanESM5-CanOE_landIce_specified-ice-sheets","CanESM5-CanOE_ocean_NEMO3.4.1_ORCA1","CanESM5-CanOE_ocnBgchem_CanOE","CanESM5-CanOE_seaIce_LIM2"
"E3SM-1-0","E3SM-Project-/-LLNL-/-UCI-/-UCSB","E3SM-1-0_aerosol_MAM4","E3SM-1-0_atmos_EAM","E3SM-1-0_atmosChem_troposhere-specified-oxidants-for-aerosols_LINOZv2","E3SM-1-0_land_ELM_MOSART","none","E3SM-1-0_ocean_MPAS-Ocean6.0","none","E3SM-1-0_seaIce_MPAS-Seaice6.0"
"E3SM-1-1","E3SM-Project-/-RUBISCO","E3SM-1-1_aerosol_MAM4","E3SM-1-1_atmos_EAM","E3SM-1-1_atmosChem_troposhere-specified-oxidants-for-aerosols_LINOZv2","E3SM-1-1_land_ELM_MOSART","none","E3SM-1-1_ocean_MPAS-Ocean6.0","E3SM-1-1_ocnBgchem_BEC","E3SM-1-1_seaIce_MPAS-Seaice6.0"
"E3SM-1-1-ECA","E3SM-Project","E3SM-1-1-ECA_aerosol_MAM4","E3SM-1-1-ECA_atmos_EAM","E3SM-1-1-ECA_atmosChem_troposhere-specified-oxidants-for-aerosols_LINOZv2","E3SM-1-1-ECA_land_ELM_MOSART","none","E3SM-1-1-ECA_ocean_MPAS-Ocean6.0","E3SM-1-1-ECA_ocnBgchem_BEC","E3SM-1-1-ECA_seaIce_MPAS-Seaice6.0"
"E3SM-2-0","E3SM-Project","E3SM-2-0_aerosol_MAM4","E3SM-2-0_atmos_EAM","E3SM-2-0_atmosChem_troposhere-specified-oxidants-for-aerosols_LINOZv2","E3SM-2-0_land_ELM_MOSART","none","E3SM-2-0_ocean_MPAS-Ocean_E3SMv2.0","none","E3SM-2-0_seaIce_MPAS-Seaice"
