"fullvarname","CMIP6_table","shortname","varID"
"daily-near_surface_specific_humidity","day","huss","CMIP6_day-huss"
"daily-precipitation","day","pr","CMIP6_day-pr"
"daily-sea_level_pressure","day","psl","CMIP6_day-psl"
"daily-near_surface_wind_speed","day","sfcWind","CMIP6_day-sfcWind"
"daily-near_surface_air_temperature","day","tas","CMIP6_day-tas"
"daily-daily_minimum_near_surface_air_temperature","day","tasmin","CMIP6_day-tasmin"
"daily-daily_maximum_near_surface_air_temperature","day","tasmax","CMIP6_day-tasmax"
"fixed-percentage_of_the_grid_cell_occupied_by_land_including_lakes","fx","sftlf","CMIP6_fx-sftlf"
"fixed-surface_altitude","fx","orog","CMIP6_fx-orog"
"fixed-land_ice_area_percentage","fx","sftgif","CMIP6_fx-sftgif"
"fixed-grid_cell_area_for_atmospheric_grid_variables","fx","areacella","CMIP6_fx-areacella"
"fixed-sea_area_percentage","Ofx","sftof","CMIP6_Ofx-sftof"
"fixed-grid_cell_area_for_ocean_variables","Ofx","areacello","CMIP6_Ofx-areacello"
"fixed-sea_floor_depth_below_geoid","Ofx","deptho","CMIP6_Ofx-deptho"
"fixed-capacity_of_soil_to_store_water","fx","mrsofc","CMIP6_fx-mrsofc"
"monthly-moisture_in_upper_portion_of_soil_column","Emon","mrsosLut","CMIP6_Emon-mrsosLut"
"monthly-snow_depth","LImon","snd","CMIP6_LImon-snd"
"monthly-total_runoff","Emon","mrroLut","CMIP6_Emon-mrroLut"
"monthly-total_cloud_cover_percentage","Amon","clt","CMIP6_Amon-clt"
"monthly-evaporation_including_sublimation_and_transpiration","Amon","evspsbl","CMIP6_Amon-evspsbl"
"monthly-surface_upward_latent_heat_flux","Amon","hfls","CMIP6_Amon-hfls"
"monthly-surface_upward_sensible_heat_flux","Amon","hfss","CMIP6_Amon-hfss"
"monthly-near_surface_specific_humidity","Amon","huss","CMIP6_Amon-huss"
"monthly-precipitation","Amon","pr","CMIP6_Amon-pr"
"monthly-surface_air_pressure","Amon","ps","CMIP6_Amon-ps"
"monthly-sea_level_pressure","Amon","psl","CMIP6_Amon-psl"
"monthly-surface_downwelling_longwave_radiation","Amon","rlds","CMIP6_Amon-rlds"
"monthly-surface_upwelling_longwave_radiation","Amon","rlus","CMIP6_Amon-rlus"
"monthly-toa_outgoing_longwave_radiation","Amon","rlut","CMIP6_Amon-rlut"
"monthly-surface_downwelling_shortwave_radiation","Amon","rsds","CMIP6_Amon-rsds"
"monthly-toa_incident_shortwave_radiation","Amon","rsdt","CMIP6_Amon-rsdt"
"monthly-surface_upwelling_shortwave_radiation","Amon","rsus","CMIP6_Amon-rsus"
"monthly-toa_outgoing_shortwave_radiation","Amon","rsut","CMIP6_Amon-rsut"
"monthly-near_surface_wind_speed","Amon","sfcWind","CMIP6_Amon-sfcWind"
"monthly-near_surface_air_temperature","Amon","tas","CMIP6_Amon-tas"
"monthly-surface_downward_eastward_wind_stress","Amon","tauu","CMIP6_Amon-tauu"
"monthly-surface_downward_northward_wind_stress","Amon","tauv","CMIP6_Amon-tauv"
"monthly-surface_temperature","Amon","ts","CMIP6_Amon-ts"
"monthly-surface_snow_amount","LImon","snw","CMIP6_LImon-snw"
"monthly-snowfall_flux","Amon","prsn","CMIP6_Amon-prsn"
"monthly-daily_maximum_near_surface_air_temperature","Amon","tasmax","CMIP6_Amon-tasmax"
"monthly-daily_minimum_near_surface_air_temperature","Amon","tasmin","CMIP6_Amon-tasmin"
"monthly-eastward_near_surface_wind","Amon","vas","CMIP6_Amon-vas"
"monthly-northward_near_surface_wind","Amon","uas","CMIP6_Amon-uas"
"monthly-sea_surface_temperature","Omon","tos","CMIP6_Omon-tos"
"monthly-sea_surface_height_above_geoid","Omon","zos","CMIP6_Omon-zos"
"monthly-sea_ice_area_percentage_on_ocean_grid","SImon","siconc","CMIP6_SImon-siconc"
"monthly-sea_surface_salinity","Omon","sos","CMIP6_Omon-sos"
"monthly-sea_ice_mass_per_area","SImon","simass","CMIP6_SImon-simass"
"monthly-sea_ice_thickness","SImon","sirdgthick","CMIP6_SImon-sirdgthick"
"monthly-surface_temperature_of_sea_ice","SImon","sitemptop","CMIP6_SImon-sitemptop"
"monthly-near_surface_relative_humidity","Amon","hurs","CMIP6_Amon-hurs"
